case_folder,mode,case_size,avg_runtime_sec,median_runtime_sec,runs,regime
matpower/case300,ACTIVESET_B5000,300,216.31924533333336,212.1166785,6,small
matpower/case300,ACTIVESET_LAZY,300,844.2306258333333,804.3257935,6,small
matpower/case300,ACTIVESET_LAZY_TOPK128,300,486.8892343333334,484.4079495,6,small
matpower/case300,ACTIVESET_NOCLEAN,300,216.74560083333333,214.5569825,6,small
matpower/case300,LAZY_ALL,300,762.8963845,741.9243985,6,small
matpower/case300,LAZY_BANDIT,300,390.86582,391.7595125,6,small
matpower/case300,LAZY_COMMIT_GNN_T060,300,382.52266416666663,379.3507905,6,small
matpower/case300,LAZY_COMMIT_HINTS,300,691.3080611666666,447.7875305,6,small
matpower/case300,LAZY_GNN_T060,300,382.45529966666663,384.828484,6,small
matpower/case300,LAZY_GNN_T080,300,209.5945138333333,146.12728299999998,6,small
matpower/case300,LAZY_TOPK128,300,392.0444705,381.386203,6,small
matpower/case300,RAW,300,602.5817658333333,582.1267425,6,small
matpower/case300,RAW_COMMIT_HINTS,300,621.2638196666667,587.7017095,6,small
matpower/case300,RAW_GNN,300,357.2605048333333,369.6951915,6,small
