case_folder,mode,n,speedup_mean,speedup_median,speedup_mean_ci_lo,speedup_mean_ci_hi,speedup_median_ci_lo,speedup_median_ci_hi,runtime_median_sec,opt_rate,infeasible_rate,mean_case_speedup
matpower/case14,WARM+PRUNE-0.80,52,1.2952878546354305,1.333670969200047,1.2433728626491545,1.3528719736690198,1.2426770967583742,1.3559305595965474,0.059499979019165,1.0,0.0,2.3904772822014064
matpower/case14,WARM+PRUNE-0.80+GNN,52,1.2822095404850975,1.2771854906626157,1.2227857888559797,1.3442537121889486,1.2251082578584327,1.337399359981129,0.0629999637603759,1.0,0.0,2.4167821699232523
matpower/case30,RAW,53,1.0,1.0,1.0,1.0,1.0,1.0,0.1449999809265136,1.0,0.0,
matpower/case30,RAW+COMMIT,53,1.0318568791717262,1.0252519049408044,0.9961256595584327,1.0683890882370082,0.9533319769973899,1.0592583958518769,0.1459999084472656,1.0,0.0,1.044893077879277
matpower/case30,RAW+GNN,53,1.0239403711542616,0.9925378445508832,0.985751744904126,1.0617277819235589,0.9556963935415727,1.022900916182246,0.1480000019073486,1.0,0.0,1.078062500351707
matpower/case30,WARM,53,0.9813330729804635,0.9797295882285657,0.9340002866604343,1.0259699421820923,0.9342091022453672,1.022558358818447,0.1510000228881836,1.0,0.0,1.1390003305091103
matpower/case30,WARM+HINTS,53,0.9666388722088552,0.9277103934621651,0.9232839892820821,1.0106025149517324,0.8819872557135306,1.0131585138988666,0.1610000133514404,1.0,0.0,1.1340541002024251
matpower/case30,WARM+HINTS+COMMIT,53,0.945780888949004,0.8963417293484481,0.9011591276968879,0.9933987658339799,0.8816568548199373,0.9573172681888622,0.1640000343322754,1.0,0.0,1.14011951617411
matpower/case30,WARM+HINTS+COMMIT+GRU,53,0.924664869010394,0.9139072220292418,0.887671591349663,0.9643790610221628,0.8826541845531408,0.9411761039317218,0.1619999408721923,1.0,0.0,1.0278050684516817
matpower/case30,WARM+HINTS+GRU,53,0.9313898047372265,0.9276320949157221,0.8938653635367861,0.9683682762607058,0.8903228188156901,0.9506165026682248,0.1649999618530273,1.0,0.0,1.0252790897637947
matpower/case30,WARM+LAZY,53,1.8459804497194818,1.8405809120028196,1.7502689727763951,1.933082379007293,1.7402627561841828,1.9552270673052996,0.0820000171661377,1.0,0.0,8.590397830137299
matpower/case30,WARM+LAZY+BANDIT,53,1.8307790354852111,1.7866720496420525,1.7440141801078293,1.9098281762715494,1.7249966472455278,1.9078951083393205,0.0820000171661377,1.0,0.0,8.614709779776403
matpower/case30,WARM+LAZY+COMMIT,53,1.8464505009628156,1.8101252452089935,1.7512739932208894,1.9401463246166393,1.7356298214603816,1.9220803750298028,0.0829999446868896,1.0,0.0,8.59362496036137
matpower/case30,WARM+LAZY+GRU,53,1.6172314385098363,1.5999978807273345,1.552322399980233,1.6799800976404748,1.5,1.7096803137898338,0.0910000801086425,1.0,0.0,8.213334612109252
matpower/case30,WARM+PRUNE-0.10,53,1.4134122963959987,1.3399987125415145,1.3144761751862264,1.5116428226027052,1.2660555274848586,1.5,0.1100001335144043,1.0,0.0,9.643985517197217
matpower/case30,WARM+PRUNE-0.10+GNN,53,1.4169075013602737,1.2815510608452498,1.3173848516395823,1.519170433929399,1.2333320750143548,1.4239133815007932,0.1130001544952392,1.0,0.0,9.584479983821792
matpower/case30,WARM+PRUNE-0.20,53,1.4105481208163697,1.322833537021497,1.3239313925253262,1.4968735381660616,1.2660555274848586,1.4999981660125448,0.1109998226165771,1.0,0.0,8.6847194416605
matpower/case30,WARM+PRUNE-0.20+GNN,53,1.4681676531221013,1.3711346034258576,1.3705096201601035,1.5684845097676827,1.2884639632101273,1.5399982357050388,0.1080000400543212,1.0,0.0,8.632062355602704
matpower/case30,WARM+PRUNE-0.30,53,1.411102733815758,1.3571411193989913,1.3187964824585259,1.4977092492689923,1.2872864763753735,1.4754077536710533,0.1099998950958252,1.0,0.0,6.956630728496769
matpower/case30,WARM+PRUNE-0.30+GNN,53,1.429562974877377,1.3099985456487484,1.3267599060297108,1.5357064966614757,1.2590362137955402,1.4948432829951226,0.1110000610351562,1.0,0.0,6.904809727241395
matpower/case30,WARM+PRUNE-0.50,53,1.4406805924040693,1.322918244741751,1.3474100557262598,1.536278727398417,1.2654887795491565,1.4948432829951226,0.1119999885559082,1.0,0.0,3.5615481906559183
matpower/case30,WARM+PRUNE-0.50+GNN,53,1.4391350916854526,1.3367344456284278,1.3358569374373004,1.539504175656131,1.2627109397730576,1.4943810893855505,0.1100001335144043,1.0,0.0,3.607078431629981
matpower/case30,WARM+PRUNE-0.80,53,1.4534117848385446,1.371131233286141,1.3690038477447712,1.5421969031565432,1.302521227275096,1.4767458623270775,0.1089999675750732,1.0,0.0,2.3904772822014064
matpower/case30,WARM+PRUNE-0.80+GNN,53,1.4547054787766587,1.346937782513709,1.3646391350681415,1.545901989220291,1.2660555274848586,1.541284704678037,0.1099998950958252,1.0,0.0,2.4167821699232523
matpower/case300,RAW,59,1.0,1.0,1.0,1.0,1.0,1.0,199.22000002861023,0.711864406779661,0.0,
matpower/case300,RAW+COMMIT,59,1.017988414527405,1.0050989954528597,0.9757083940702178,1.053423484898143,1.0002296022331596,1.0341311807309286,193.021999835968,0.711864406779661,0.0,1.044893077879277
matpower/case300,RAW+GNN,59,0.9985154219741047,1.0099941765251312,0.9402476299813898,1.042477824676461,1.000104826730249,1.0223167879496182,196.1360001564026,0.711864406779661,0.0,1.078062500351707
matpower/case300,WARM,59,1.1855855682538852,1.0870120511083918,1.1184607126437078,1.27093780791512,1.0451641671194667,1.1682854444884148,166.4449999332428,0.8305084745762712,0.0,1.1390003305091103
matpower/case300,WARM+HINTS,59,1.1775488938696315,1.0940212217222065,1.1116924164366415,1.259324909373252,1.0295666243128128,1.1446020803131667,166.2590000629425,0.7966101694915254,0.0,1.1340541002024251
matpower/case300,WARM+HINTS+COMMIT,59,1.1860947035231832,1.108705971862156,1.1197129302635747,1.2694146642439903,1.0358837166421917,1.160381467103279,165.90300011634827,0.7966101694915254,0.0,1.14011951617411
matpower/case300,WARM+HINTS+COMMIT+GRU,59,1.2481973357302156,1.0867126659189654,1.1445409954298575,1.3690777306576611,1.0495659050860375,1.1438889850181744,175.2739999294281,0.8305084745762712,0.0,1.0278050684516817
matpower/case300,WARM+HINTS+GRU,59,1.239272190186478,1.091903601271949,1.1416771108467418,1.3555055716397713,1.0482363044830831,1.1184951383909674,176.09500002861023,0.8305084745762712,0.0,1.0252790897637947
matpower/case300,WARM+LAZY,59,17.345634553087407,14.438324295124323,15.383839407117867,19.370211601394743,12.248579678776547,15.243212464563614,13.79800009727478,1.0,0.0,8.590397830137299
matpower/case300,WARM+LAZY+BANDIT,59,17.375842830007688,14.546232892287989,15.386662362607542,19.393522523487054,12.376225424756925,15.442492502881661,13.822999954223633,1.0,0.0,8.614709779776403
matpower/case300,WARM+LAZY+COMMIT,59,17.390621781007457,14.469784878492245,15.412320573216858,19.41019087872825,12.287995940615739,15.392424683712395,13.775000095367432,1.0,0.0,8.59362496036137
matpower/case300,WARM+LAZY+GRU,59,17.420091058642075,14.531326514706162,15.341498573772899,19.48285320350991,12.094547529963712,15.210887072051682,13.694000005722046,1.0,0.0,8.213334612109252
matpower/case300,WARM+PRUNE-0.10,59,12.719818490612724,11.158908765932466,10.948814319959808,14.554011663883312,9.164488747669635,13.68953660830329,20.23300004005432,1.0,0.0,9.643985517197217
matpower/case300,WARM+PRUNE-0.10+GNN,59,12.71229562420485,11.281499571456813,10.957906992697058,14.543946007223592,9.201943127672449,13.645699973847758,20.392000198364254,1.0,0.0,9.584479983821792
